# capability|devuan|debian|ubuntu|alpine|arch|fedora|void|gentoo|description
rootfs_builder|yes|yes|yes|yes|yes|yes|yes|yes|Build and manage portable RootFS filesystems
repository_manager|yes|yes|yes|yes|yes|yes|yes|yes|Manage native package repositories
keyring_repair|yes|yes|yes|yes|yes|yes|yes|yes|Repair distribution and repository signing keys
apt_fast|yes|yes|yes|no|no|no|no|no|Parallel APT download frontend
nala|yes|yes|yes|no|no|no|no|no|Alternative APT frontend
flatpak|optional|optional|optional|optional|optional|optional|optional|optional|Flatpak application manager
sysvinit|yes|yes|optional|optional|no|no|optional|optional|SysV init support
systemd|no|optional|yes|no|yes|yes|no|optional|systemd support
openrc|optional|optional|optional|yes|optional|no|optional|yes|OpenRC support
